course_id,course_name,sector,skills_covered,nsqf_level,duration,job_role
C057,Organic Farming Specialist,Agriculture,"Organic Methods,Crop Management,Soil Nutrition,Composting",4,6 Months,Organic Farming Adviser
C058,Food Processing Technician,Agriculture,"Food Safety,Hygiene,Processing Methods,Packaging Standards",3,3 Months,Food Processing Worker
C059,Micro Irrigation Technician,Agriculture,"Drip Irrigation,Sprinkler Systems,Water Management,Installation",3,3 Months,Irrigation Technician
C060,Agricultural Equipment Operator,Agriculture,"Tractor Operation,Farm Machinery,Maintenance,Safety",2,2 Months,Equipment Operator
C061,Accountancy with Tally,Finance,"Tally ERP,Accounting,GST Filing,Taxation,MS Excel",4,3 Months,Accounts Assistant
C062,Banking Operations,Finance,"banking products,KYC,Customer Service,Core Banking,Regulatory Compliance",5,4 Months,Bank Operations Executive
C063,Financial Analyst,Finance,"Financial Modelling,Excel,Valuation,Equity Research,Bloomberg",7,9 Months,Financial Analyst
C064,Insurance Agent,Finance,"Insurance Products,Sales,Risk Assessment,CRM,Compliance",4,3 Months,Insurance Agent
C065,GST and Taxation,Finance,"GST Returns,Income Tax,TDS,Tax Planning,Tally",4,3 Months,Tax Assistant
C066,Hotel Management and Operations,Hospitality,"Front Office,Housekeeping,F&B Service,Guest Relations",5,6 Months,Hotel Operations Executive
C067,Food and Beverage Steward,Hospitality,"Table Service,Beverage Knowledge,Menu Planning,Hygiene",4,4 Months,F&B Steward
C068,Commis Chef,Hospitality,"Cooking Techniques,Kitchen Management,Food Safety,Presentation",4,6 Months,Commis Chef
C069,Travel and Tourism Executive,Hospitality,"Itinerary Planning,GDS Systems,Customer Service,Geography",5,6 Months,Travel Consultant
C070,Housekeeping Supervisor,Hospitality,"Room Management,Laundry,Hygiene Standards,Team Management",4,4 Months,Housekeeping Supervisor
C071,Apparel Manufacturing,Textile,"Sewing Operations,Pattern Making,Quality Control,Fabric Knowledge",2,3 Months,Sewing Machine Operator
C072,Fashion Design,Textile,"Sketching,Pattern Drafting,Draping,Fashion Illustration,Fabric Selection",5,6 Months,Fashion Designer Assistant
C073,Handloom Weaver,Textile,"Loom Operation,Thread Management,Colour Coordination,Traditional Techniques",2,4 Months,Handloom Weaver
C074,Garment Quality Checker,Textile,"Quality Standards,Defect Identification,Measurement,Documentation",3,2 Months,Quality Inspector
C075,Textile Dyeing Technician,Textile,"Dyeing Techniques,Chemical Handling,Colour Matching,Lab Testing",4,4 Months,Dyeing Technician
C076,Cold Chain Logistics,Logistics,"Cold Storage,Refrigeration Units,Supply Chain,Safety Procedures",3,2 Months,Cold Chain Operator
C077,Warehouse Associate,Logistics,"Inventory Management,Forklift Operation,ERP Software,Order Fulfilment",3,3 Months,Warehouse Associate
C078,Supply Chain Manager,Logistics,"Procurement,Vendor Management,Logistics,ERP,Cost Optimisation",7,9 Months,Supply Chain Manager
C079,Drone Pilot,Emerging Technology,"Drone Operation,Aerial Photography,Remote Sensing,Safety Regulations",4,3 Months,Drone Pilot
C080,Artificial Intelligence Basics,Emerging Technology,"AI Concepts,Python,Neural Networks,ChatGPT,Prompt Engineering",5,4 Months,AI Assistant
C081,Augmented Reality Developer,Emerging Technology,"Unity,ARKit,ARCore,3D Modelling,C#",7,9 Months,AR/VR Developer
C082,IoT Applications Developer,Emerging Technology,"Arduino,Raspberry Pi,Sensors,Python,MQTT Protocols",6,6 Months,IoT Developer
C083,Solar Energy Technician,Renewable Energy,"Solar PV Systems,Inverter Installation,Battery Storage,Maintenance",4,4 Months,Solar Energy Technician
C084,Wind Turbine Technician,Renewable Energy,"Wind Energy Basics,Mechanical Maintenance,Safety,Electrical Wiring",5,5 Months,Wind Turbine Technician
C085,Energy Auditor,Renewable Energy,"Energy Assessment,ISO 50001,Report Writing,Building Systems",6,4 Months,Energy Auditor
C086,Primary Teacher Training,Education,"Pedagogy,Child Development,Lesson Planning,Classroom Management",6,6 Months,Primary School Teacher
C087,Early Childhood Educator,Education,"Child Psychology,Play-based Learning,Nutrition,Montessori Basics",4,6 Months,Pre-school Teacher
C088,Special Education Trainer,Education,"Inclusive Education,Behavioural Techniques,IEP Preparation,Communication",6,9 Months,Special Education Teacher
C089,Content Creator,Media & Entertainment,"Video Editing,Script Writing,Social Media,YouTube,Storytelling",4,3 Months,Content Creator
C090,Radio Jockey,Media & Entertainment,"Voice Modulation,Script Writing,Broadcasting,Audio Mixing",4,4 Months,Radio Jockey
C091,Spoken English and Soft Skills,Communication,"English Speaking,Business Communication,Presentation,Interview Skills",3,3 Months,Communication Trainer
C092,Business Communication,Communication,"Report Writing,Email Etiquette,Presentation,Interpersonal Skills",4,3 Months,Corporate Trainer
C093,Customer Care Executive,Communication,"CRM,Active Listening,Conflict Resolution,Telephony,Escalation Handling",3,2 Months,Customer Care Executive
C094,Disaster Management,Public Safety,"Emergency Response,First Aid,Rescue Operations,Crisis Communication",4,3 Months,Disaster Management Official
C095,Fire Safety Officer,Public Safety,"Fire Prevention,Evacuation Planning,Extinguisher Use,Safety Audits",5,4 Months,Fire Safety Officer
C096,Electrician Basics,Electrical,"AC/DC Circuits,Wiring,Safety,Tools,Meters",3,3 Months,Electrician
C097,Industrial Electrician,Electrical,"Industrial Panels,PLC Basics,Motor Control,Safety Protocols",5,6 Months,Industrial Electrician
C098,CNC Machine Operator,Manufacturing,"CNC Programming,Machine Setup,Tools,Quality Inspection",5,4 Months,CNC Operator
C099,Welding Technician,Manufacturing,"Arc Welding,MIG/TIG,Safety,Blueprint Reading",3,3 Months,Welder
C100,Quality Control Inspector,Manufacturing,"Six Sigma Basics,Quality Tools,Measurement Systems,Documentation",5,4 Months,QC Inspector
